category,subcategory,inventory_capital,gross_profit_12m_est,current_roic,benchmark_roic,potential_upside_gross_profit,upside_pct_of_capital
Bikes,Road Bikes,6927375.9819,1182120.5447110003,0.17064477917752274,0.48862182364006623,2202746.5406053723,0.3179770444625435
Bikes,Touring Bikes,2925192.6621999997,372853.3707220004,0.12746284220526596,0.48862182364006623,1056459.6023807037,0.3611589814348003
Components,Mountain Frames,1671963.0595,178742.57986000003,0.10690581878851614,0.48862182364006623,638215.0593317145,0.3817160048515501
Components,Wheels,1059724.1329,493.13599999999997,0.0004653437481417952,0.48862182364006623,517311.20237298595,0.48815647989192446
Components,Road Frames,287310.4688,-13316.657143999928,-0.046349362762934346,0.48862182364006623,153702.82235993826,0.5349711864030006
Components,Cranksets,337989.7228,48735.587392000016,0.144192512684294,0.48862182364006623,116413.56733413646,0.3444293109557722
Components,Forks,217323.2279,0.0,0.0,0.48862182364006623,106188.87193584372,0.48862182364006623
Clothing,Jerseys,48445.135200000004,-71836.28945099995,-1.4828380425492123,0.48862182364006623,95507.6397589135,1.9714598661892782
Components,Handlebars,216164.3481,21555.605155999998,0.09971859534407652,0.48862182364006623,84067.01281858809,0.3889032282959897
Components,Headsets,89924.6406,0.0,0.0,0.48862182364006623,43939.14188014954,0.48862182364006623
Components,Bottom Brackets,108515.924,12594.6116,0.1160623356992288,0.48862182364006623,40428.63707886683,0.37255948794083743
Components,Saddles,102600.36,13109.808436000003,0.12777546234730564,0.48862182364006623,37022.9665733273,0.36084636129276054
Components,Pedals,128244.26640000001,34964.89649199999,0.27264296076163597,0.48862182364006623,27698.050827750485,0.21597886287843027
Components,Derailleurs,80327.4102,16903.075800000006,0.21042724716151756,0.48862182364006623,22346.64986020765,0.27819457647854867
Components,Brakes,70456.14,15748.581000000004,0.2235231876171474,0.48862182364006623,18677.82661343981,0.26509863602291883
Clothing,Bib-Shorts,12027.1716,256.47119999999995,0.021324315352746773,0.48862182364006623,5620.267320424014,0.46729750828731953
Clothing,Tights,11136.024,480.87269999999995,0.04318172266870114,0.48862182364006623,4960.431654979545,0.4454401009713651
Accessories,Lights,7437.636,0.0,0.0,0.48862182364006623,3634.191265891008,0.48862182364006623
Accessories,Pumps,5714.7408000000005,0.0,0.0,0.48862182364006623,2792.3470713262914,0.48862182364006623
Accessories,Panniers,3712.5,0.0,0.0,0.48862182364006623,1814.0085202637458,0.48862182364006623
Accessories,Locks,2598.75,4.6875,0.0018037518037518038,0.48862182364006623,1265.118464184622,0.4868180718363144
Clothing,Caps,1993.6224,93.37823100000242,0.04683847402597524,0.48862182364006623,880.7491817376831,0.441783349614091
Components,Chains,5293.1074,2295.7857440000007,0.43373118482349343,0.48862182364006623,290.5420465107287,0.0548906388165728
Accessories,Fenders,887.814,28495.924500000005,32.09672803087134,0.48862182364006623,0.0,0.0
Accessories,Cleaners,107.03880000000001,8097.003449999998,75.64549910873438,0.48862182364006623,0.0,0.0
Accessories,Helmets,10835.4564,181081.83133000002,16.711970834011204,0.48862182364006623,0.0,0.0
Clothing,Vests,15389.351999999999,92809.55530000002,6.030764342774148,0.48862182364006623,0.0,0.0
Accessories,Hydration Packs,2221.1603999999998,46476.554202,20.924447510409426,0.48862182364006623,0.0,0.0
Clothing,Socks,3160.5768,9122.342902,2.8862905346897443,0.48862182364006623,0.0,0.0
Clothing,Shorts,37606.330799999996,125573.671211,3.3391630754628157,0.48862182364006623,0.0,0.0
Accessories,Bottles and Cages,2635.7472,36920.623852,14.007649842898438,0.48862182364006623,0.0,0.0
Clothing,Gloves,8374.7196,39140.611373,4.673662312586561,0.48862182364006623,0.0,0.0
Bikes,Mountain Bikes,4771083.8883,3349815.5299920007,0.7021078665597691,0.48862182364006623,0.0,0.0
Accessories,Tires and Tubes,43497.8102,151680.11953199998,3.487074839735265,0.48862182364006623,0.0,0.0
Accessories,Bike Stands,8563.104,24385.83,2.84777926322044,0.48862182364006623,0.0,0.0
